"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s81",0.179930117458699,5.55978296626312e-05,-0.00757995325797152,-0.00403862694669758,0.126922621223736,0.311401112766972,-0.00115739292557784,0.101901504326584,0.0890996792656585,0.0327016628990565,0.0958676537079905
"s82",0.180393571073092,5.70651936566212e-05,-0.0098878686577161,-0.00417094130341543,0.129389208670297,0.318054076299763,-0.00117839024482421,0.105909177661027,0.0967353843874729,0.0372463422343766,0.0873510355824664
"s83",0.180642350151949,5.87457225072977e-05,-0.0122482155183155,-0.00429809760644381,0.131751278413351,0.324532394237707,-0.00119786547356682,0.110075029899643,0.104717794686052,0.0419867443107734,0.0795910103377584
"s84",0.180693327018863,6.06572637526095e-05,-0.0146489996234313,-0.00441970723079321,0.134005927937883,0.330833129703266,-0.00121583340651632,0.114398077859116,0.113027458733288,0.0469142523938952,0.0725203643476518
"s85",0.180587624382559,6.27103703575933e-05,-0.0170452988597262,-0.00453545137414223,0.136114146478529,0.3369700915684,-0.00123243394984864,0.118943032490559,0.121659988968965,0.0520544010626301,0.0660778550592312
"s86",0.180296983961847,6.51128553666809e-05,-0.0194887510453713,-0.00464514907132792,0.138141743622055,0.342914117130345,-0.00124749110390142,0.123584544646557,0.130569378627461,0.0573339135323677,0.0602076805391856
"s87",0.179862048881664,6.77731677437484e-05,-0.0219375546767656,-0.00474862225893604,0.140056441085714,0.348675145009542,-0.00126115228666996,0.128368235872461,0.139735121155801,0.0627656788391497,0.0548589961441585
"s88",0.179301277696662,7.06880880421856e-05,-0.0243802265283489,-0.00484579459871735,0.141857561337918,0.354251786236595,-0.00127347331331875,0.133283960657474,0.149126971707674,0.0683340091659049,0.0499854741287714
"s89",0.178655485271554,7.37709084139811e-05,-0.0267763969512125,-0.00493671206239106,0.143506594741863,0.359663581171453,-0.00128459817895591,0.138402742458118,0.1587610984271,0.0740727765972558,0.045544902376857
"s90",0.177897315608175,7.7166603822634e-05,-0.0291731734733568,-0.00502137009918867,0.145076463162628,0.364873320689232,-0.00129443477205327,0.143557999777225,0.168523245145691,0.0798713926167343,0.0414988187803036
"s91",0.177064914405698,8.07836356140051e-05,-0.0315336232149277,-0.00509992581377207,0.146535043401368,0.369896621276179,-0.00130313065064586,0.148801736809235,0.178411891570627,0.0857501073940283,0.0378121780986749
"s92",0.176174580046667,8.45995591068373e-05,-0.0338484480910383,-0.0051725497197929,0.147883962148899,0.374733220900584,-0.00131076043318486,0.15411608801847,0.188389025520086,0.0916874119784108,0.0344530484141035
"s93",0.17524118507234,8.85904604571021e-05,-0.0361095006593909,-0.00523946084539964,0.149125733987074,0.379383139342805,-0.00131740003892727,0.159481296848074,0.198416189258473,0.0976605965376741,0.0313923345522949
"s94",0.174300356813009,9.26789412779882e-05,-0.0382834158171942,-0.00530101898655877,0.150221902583969,0.383873544292124,-0.00132317568129937,0.164981541349458,0.208544171472159,0.10371905446066,0.0286035260740469
"s95",0.173321781418011,9.69398854814082e-05,-0.0404149467703018,-0.00535729887778801,0.15125549526449,0.388155104085534,-0.00132806235724601,0.170398288558055,0.218569392377039,0.109704150107324,0.026062467654508
"s96",0.172336469022218,0.000101296447177326,-0.0424746271687514,-0.00540869971629031,0.152193900047947,0.392251633250409,-0.00133218560935604,0.175799567662613,0.228528005283656,0.115653400292857,0.0237471498613098
"s97",0.171355228861876,0.000105715312040755,-0.0444571460775907,-0.00545552399753438,0.153040845608587,0.396164635341676,-0.00133561867730635,0.181165230050548,0.238381772002818,0.121544728936606,0.0216375185193934
"s98",0.170386658680547,0.000110166926335682,-0.0463589038798417,-0.00549808440393197,0.153801231412652,0.399895829736625,-0.00133843214748951,0.186473896548263,0.248094134801371,0.127355765711204,0.0197153010113386
"s99",0.169438066630136,0.000114622691157555,-0.048177220949298,-0.00553669293131736,0.154480240078245,0.403447350783201,-0.0013406934859599,0.191704996535777,0.257630537774909,0.133065270882931,0.0179638480086943
